property_type,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,state,lat,lon
apartment,331924.84,128.0,128.0,Distrito Federal,19.4070717,-99.1621603
apartment,189716.32,180.0,180.0,Distrito Federal,19.3428273,-99.1522157
house,115937.75,112.0,180.0,Quintana Roo,21.129547,-86.817017
apartment,287209.43,180.0,180.0,Distrito Federal,19.3049333,-99.1836755
apartment,33990.84,0.0,47.0,Distrito Federal,19.3916358,-99.0557268
apartment,263494.89,120.0,120.0,Distrito Federal,19.3024064,-99.2018433
house,1085598.95,800.0,660.0,Distrito Federal,19.3228543,-99.2059887
apartment,300000.0,122.0,122.0,Quintana Roo,20.6295586,-87.0738851
apartment,18444.64,45.0,45.0,Distrito Federal,19.4873329,-99.1236134
apartment,80139.33,0.0,50.0,Distrito Federal,19.4555330491,-99.1633956134
house,225024.63,437.0,210.0,Quintana Roo,20.65593,-87.05368
house,1690000.0,535.0,50.0,Quintana Roo,21.129547,-86.817017
house,210795.91,94.0,232.0,Distrito Federal,19.3393661,-99.1455392
house,205477.28,300.0,222.0,Quintana Roo,21.1473004962,-86.830727309
house,139619.18,205.0,144.0,Quintana Roo,20.6148304777,-87.1044373512
house,782579.82,384.0,629.0,Distrito Federal,19.38155587,-99.1729466245
apartment,131418.07,94.0,94.0,Distrito Federal,19.3338880248,-99.151327014
apartment,340345.2,108.0,108.0,Distrito Federal,19.4032833,-99.1821858
apartment,137017.34,78.0,78.0,Distrito Federal,19.3825040623,-99.1580399126
apartment,189716.32,0.0,300.0,Quintana Roo,21.141269068,-86.8256378174
house,790484.67,500.0,500.0,Distrito Federal,19.341894,-99.224525
house,383294.16,0.0,237.0,Distrito Federal,19.3402891,-99.1989148
apartment,53399.87,0.0,60.0,Distrito Federal,19.2990233,-99.0436467
apartment,444726.6,220.0,314.0,Distrito Federal,19.381729,-99.164986
apartment,150830.86,0.0,73.0,Distrito Federal,19.3596034,-99.1514055
house,102957.29,120.0,141.0,Distrito Federal,19.3126089706,-99.1228191555
house,65873.72,150.0,150.0,Quintana Roo,21.1363144,-86.8403365
house,279304.58,371.0,330.0,Quintana Roo,21.139086,-86.84964
apartment,505910.19,0.0,253.0,Quintana Roo,21.129547,-86.817017
house,205526.01,378.0,179.0,Quintana Roo,21.0717887,-86.8881652
house,129112.49,156.0,140.0,Quintana Roo,20.626583,-87.078659
house,86953.31,110.0,150.0,Quintana Roo,21.082655,-86.857162
house,147522.15,200.0,300.0,Quintana Roo,21.139086,-86.84964
house,216803.59,270.0,236.0,Quintana Roo,21.082655,-86.857162
house,92023.21,161.0,133.0,Zacatecas,18.015418,-92.953393
apartment,73778.56,98.0,0.0,Distrito Federal,19.3305971,-99.0536536
apartment,269180.16,117.0,117.0,Distrito Federal,19.3503274,-99.2989735
house,737785.69,177.0,400.0,Distrito Federal,19.355921,-99.180214
apartment,310729.14,121.0,121.0,Distrito Federal,19.394358,-99.177444
apartment,265000.0,1500.0,233.0,Quintana Roo,20.4991035674,-87.2227642199
apartment,166528.77,0.0,144.0,Quintana Roo,21.1551822,-86.8218046
apartment,265234.0,3000.0,156.0,Quintana Roo,20.6157480492,-87.0938821882
house,246104.22,275.0,327.0,Distrito Federal,19.3439785,-99.1248628
apartment,33200.35,50.0,50.0,Distrito Federal,19.4179232,-99.1483827
house,105397.95,190.0,230.0,Quintana Roo,21.161908,-86.8515279
house,595000.0,748.0,491.0,Quintana Roo,20.65593,-87.05368
apartment,388688.69,0.0,203.0,Quintana Roo,21.1903799,-86.8190064
apartment,190122.1,97.0,97.0,Distrito Federal,19.3813197,-99.1996895
house,2000000.0,413.0,550.0,Distrito Federal,19.420166,-99.220367
house,737785.69,500.0,420.0,Distrito Federal,19.4037619,-99.2513326
apartment,135057.59,93.0,79.0,Distrito Federal,19.3638234,-99.1444714
house,97493.1,985.0,230.0,Quintana Roo,21.117013009,-86.8487233455
apartment,890000.0,0.0,284.0,Quintana Roo,21.1902642,-86.8198375
apartment,26349.48,0.0,42.0,Distrito Federal,19.444584,-99.174675
house,105372.96,0.0,0.0,Distrito Federal,19.2725263642,-99.2171752453
apartment,545000.0,2000.0,254.0,Solidaridad,20.626583,-87.078659
apartment,50327.52,76.0,76.0,Distrito Federal,19.4113101,-99.064722
house,94835.67,150.0,280.0,Distrito Federal,19.34343,-98.988029
house,105372.96,484.0,253.0,Distrito Federal,19.3211179,-99.0755302
house,1000000.0,470.0,550.0,Distrito Federal,19.404579758,-99.2446129024
house,395242.33,1000.0,700.0,Quintana Roo,21.0707599686,-86.8510852754
apartment,430000.0,0.0,220.0,Quintana Roo,21.1184519879,-86.7688007344
apartment,83180.59,0.0,127.0,Distrito Federal,19.2990233,-99.0436467
apartment,209693.45,0.0,146.0,Quintana Roo,21.1492842346,-86.8211424351
apartment,753595.38,0.0,226.0,Distrito Federal,19.390415,-99.254997
apartment,216065.81,0.0,147.0,Quintana Roo,21.1217346614,-86.7687320709
apartment,25275.11,62.0,42.0,Distrito Federal,19.4306069,-99.0949899
apartment,113566.29,0.0,60.0,Distrito Federal,19.3605334,-99.2267067
apartment,893500.0,0.0,215.0,Solidaridad,20.658486188,-87.0446777344
house,158096.93,130.0,360.0,Quintana Roo,21.1444567,-86.8493821
apartment,18971.63,0.0,56.0,Distrito Federal,19.301945,-99.0495332
apartment,733560.0,165.0,165.0,Quintana Roo,20.6314764478,-87.0657934248
apartment,510000.0,209.0,209.0,Quintana Roo,21.1470228208,-86.7919864655
apartment,242415.29,0.0,170.0,Distrito Federal,19.400249,-99.177444
apartment,34254.33,60.0,60.0,Distrito Federal,19.524143,-99.160149
apartment,650000.0,0.0,273.0,Quintana Roo,21.1347621,-86.7461357
apartment,255529.44,60.0,0.0,Distrito Federal,19.4374246,-99.1905651
house,711436.2,177.0,400.0,Distrito Federal,19.3559202,-99.1802147
apartment,654457.8,205.0,205.0,Distrito Federal,19.3577935962,-99.2744779587
house,416223.22,177.0,340.0,Distrito Federal,19.353813,-99.163605
house,550000.0,247.0,247.0,Quintana Roo,20.503029,-87.222649
house,605894.56,400.0,400.0,Distrito Federal,19.343294,-99.240456
apartment,27606.96,48.0,48.0,Distrito Federal,19.393751,-99.049999
apartment,44783.51,0.0,0.0,Distrito Federal,19.4780078,-99.15275
house,249000.0,1360.0,100.0,Quintana Roo,20.6950637922,-87.060341835
apartment,162123.24,145.0,64.0,Distrito Federal,19.3638234,-99.1444714
house,379432.64,375.0,560.0,Quintana Roo,21.1399481749,-86.8291139603
apartment,521719.88,184.0,184.0,Distrito Federal,19.3556628374,-99.2753872275
house,316193.86,60.0,185.0,Distrito Federal,19.3857490016,-99.1858577728
store,160000.0,0.0,0.0,Quintana Roo,20.6635341,-87.0680933
store,96775.0,0.0,734.0,Quintana Roo,21.161908,-86.8515279
house,237089.17,276.0,144.0,Distrito Federal,19.473486,-99.185753
apartment,439000.0,265.0,225.0,Quintana Roo,21.1902642,-86.8198375
apartment,10579.0,43.0,43.0,Distrito Federal,19.4782031,-99.1326443
apartment,270951.79,103.0,103.0,Distrito Federal,19.394358,-99.177444
house,97493.1,170.0,400.0,Distrito Federal,19.4479726,-99.1105131
house,580000.0,380.0,405.0,Quintana Roo,21.1295466,-86.8170132
house,210795.91,140.0,190.0,Distrito Federal,19.3138472,-99.0914512
house,1567500.0,469.0,522.0,Quintana Roo,21.1670281292,-86.8127975485
apartment,1212076.49,420.0,800.0,Distrito Federal,19.4318149,-99.1940586
apartment,131031.28,167.0,141.0,Benito Juárez,21.1004863999,-86.8671302094
house,1500000.0,1100.0,1000.0,Distrito Federal,19.4032760464,-99.2538713053
house,378815.81,165.0,230.0,Distrito Federal,19.382275,-99.270241
apartment,152000.0,75.0,75.0,Quintana Roo,20.6157179238,-87.0931955427
apartment,173643.13,0.0,101.0,Distrito Federal,19.2753576,-99.1675547
house,155461.98,160.0,220.0,Quintana Roo,21.161908,-86.8515279
house,237145.4,400.0,350.0,Quintana Roo,21.1486457139,-86.844076328
apartment,44497.91,74.0,74.0,Distrito Federal,19.3223015,-99.1035542
house,289775.66,371.0,340.0,Quintana Roo,21.139086,-86.84964
apartment,115937.75,110.0,110.0,Distrito Federal,19.343979,-99.124863
apartment,300911.16,124.0,124.0,Distrito Federal,19.3815906,-99.1653974
apartment,430866.84,157.0,157.0,Distrito Federal,19.394358,-99.177444
house,420000.0,341.0,260.0,Quintana Roo,20.6804573963,-87.0356051624
house,62711.78,132.0,193.0,Distrito Federal,19.3707369783,-99.294244498
house,34844.56,109.0,174.0,Distrito Federal,19.279188,-99.005989
house,237145.4,300.0,327.0,Quintana Roo,21.1087511639,-86.8443314731
apartment,192305.66,70.0,70.0,Distrito Federal,19.3755039,-99.1630337
apartment,575000.0,169.0,0.0,Solidaridad,20.6295586,-87.0738851
apartment,86584.42,70.0,70.0,Distrito Federal,19.3865508,-99.1937082
apartment,711028.89,221.0,221.0,Distrito Federal,19.3576316393,-99.2747354507
house,18545.64,52.0,52.0,Quintana Roo,21.161995,-86.880989
apartment,151567.64,180.0,180.0,Distrito Federal,19.407682,-99.172042
apartment,177068.56,152.0,152.0,Distrito Federal,19.3108788,-99.1386972
house,1106416.15,750.0,900.0,Distrito Federal,19.3559202,-99.1802147
apartment,14606.11,13.0,44.0,Distrito Federal,19.3921653148,-99.0574979782
